est_internacao;id;menor01a;01a;02a;03a;04a;05a;06a;07a;08a;09a;10a;11a;12a;13a;14a;15a;16a;17a;18a;19a;20a;21a;22a;23a;24a;25a;26a;27a;28a;29a;30a;31a;32a;33a;34a;35a;36a;37a;38a;39a;40a;41a;42a;43a;44a;45a;46a;47a;48a;49a;50a;51a;52a;53a;54a;55a;56a;57a;58a;59a;60a;61a;62a;63a;64a;65a;66a;67a;68a;69a;70a;71a;72a;73a;74a;75a;76a;77a;78a;79a;80a;81a;82a;83a;84a;85a;86a;87a;88a;89a;90a;91a;92a;93a;94a;95a;96a;97a;98a;99a;100a;101a;102a;103a;104a;105a
2752093 PSM BALNEARIO SAO JOSE;h198;;1;;;;;;;;;;;;;;;;;;1;;;1;;;;1;;1;2;1;;;;;;;;;;;;;1;1;;1;1;;;;;1;;;1;1;1;;;;;;;;;;1;;;1;1;;;1;1;;1;;;1;1;;;1;;1;;;;;;;;;;;;;;;;;;;
0102172 HOSPTIAL DE CAMPANHA COVID 19 CENTRO DE COMBATE AO CORONA;h199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;1;1;1;2;;1;;;;;1;;;1;;1;1;;;1;;;1;;;2;;2;;;1;;;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;
2096196 HOSPITAL ENF ANTONIO POLICARPO DE OLIVEIRA;h200;1;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;2;;;1;;;1;;;2;;;;1;;1;;;;;;;2;;;;;1;;1;1;;;;1;;;;;;;1;1;1;;;;;;;;;;;;;
2792141 HOSPITAL REGIONAL DE COTIA;h201;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;1;;;1;;1;1;1;;;;;;1;;;;;;;;;;1;2;;;1;;;;;;2;;;;1;2;1;;;;2;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;
6654665 PRONTO ATENDIMENTO SANCTA MAGGIORE TATUAPE;h202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;1;;;;;;1;;;1;1;2;;;;;2;1;1;1;3;;;1;;1;;2;;1;1;;;1;1;;;;;;;;;;;;;
2082861 HOSP MUNICIPAL DE URGENCIAS HMU;h203;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;1;;;;;;;;1;;1;;;;;;1;1;1;1;;;1;1;;1;;;;;;2;;;;;1;;;;;1;;;;;1;1;;;;2;1;1;;;;;;;;;;;;;;;;;1;;;
2079828 HOSPITAL GERAL PIRAJUSSARA TABOAO DA SERRA;h204;2;1;;;;;1;;;;;;;;;;;;;;1;1;;;;;;;;;;1;;;;;;;1;1;;;;;;;;;;1;2;1;;;;1;;;;;;1;;;;1;;;1;;1;1;;1;;;1;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
2784882 HOSPITAL IPIRANGA DE MOGI DAS CRUZES;h205;1;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;1;;;;;2;;;2;1;2;1;;;;;;;;1;1;;1;;;;1;;;;;;;;;;;;2;;1;;;;;;1;;;;;;;;;;;;;;;;;
9768688 HOSPITAL NOVA NEOMATER;h206;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;1;1;1;1;;1;;;1;1;;1;1;1;1;;;1;;;1;;;2;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;;;;;;;;;;;;;;
7261012 INNOVA HOSPITAIS ASSOCIADOS LTDA;h207;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;;1;;2;1;;;;;2;;;;1;;;;1;;1;;1;;;1;2;;1;;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
2089785 HOSPITAL DO RIM E HIPERTENSAO;h208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;2;;;;1;;2;1;;;;1;1;1;;1;2;;;1;;;2;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2078619 HOSPITAL E MATERNIDADE SAO MIGUEL;h209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;1;;1;;1;;1;;;;;;;2;2;1;;;1;1;;;;1;;;;1;1;1;;1;1;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
0105597 HOSPITAL DE CAMPANHA COVID 19 OSASCO - OSASCO - SP;h210;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;2;1;1;4;1;;1;2;;1;;;;;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
2077388 HOSPITAL AMPARO MATERNAL;h211;2;;;;;;;;;;;;;;;1;1;2;;;1;2;2;1;1;1;;1;1;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0115509 HOSPITAL DE CAMPANHA COVID 19 DE MAIRIPORA - MAIRIPORA - SP;h212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;1;1;;;1;;;;1;;;;;1;;1;;;;;;1;;1;;;1;;1;;;;;;;;;;4;;;;2;;;;;1;;;;;;;;;;;;;;;
6817203 HOSPITAL DE CLINICAS CAIEIRAS;h213;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;1;1;;;;;;1;;;;1;;;;1;;;;;1;1;;1;;;;;;;1;;;;1;1;;;;;;;1;1;;;;;;;1;;;;;;;;;1;;;;;;;;;;
2083256 HOSPITAL SANTANA;h214;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;1;1;;1;;;1;;1;;;1;;;;1;1;;2;1;;;2;;;;;;1;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5174465 HOSP E MATERNIDADE DO BRAZ;h215;2;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;1;;;;;;1;1;;;;;;1;;;;;;;1;1;1;;;1;;;;;;;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;
7124139 HOSPITAL VITAL;h216;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;1;;;;1;;1;;;1;;;1;;;;1;1;;;;;;;;1;;2;1;;;;1;;1;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
6146295 AMA HOSPITAL IGNACIO PROENCA DE GOUVEA;h217;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;1;;1;;;;;;;1;1;1;;;;1;;2;1;;;;1;2;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
2718324 HOSPITAL BOM CLIMA;h218;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;1;1;;;;;;;;;;;;;;;1;;;;;;1;1;;1;;;;1;1;;;1;;;1;;;1;;;1;;;;;;;;;;;;;;;;;;;;
2080001 FAMILY HOSPITAL;h219;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;2;;1;;1;1;1;;;;;;;;;;;;;;1;;;;;;;1;1;;;;;;;;2;;;;;;;;;;;;;;;;;
9335951 HOSPITAL DAS ACACIAS - SANTO ANDRE (SP);h220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;1;;;1;;;;;1;;;;1;;;;;1;;1;1;1;1;;;;;;1;1;;;;;;;;;;;;;
2077396 HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO;h221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;1;;;;;;;;;;;1;;;1;;;;;;;;1;;;2;1;;;;;;;1;;;;;;;;;;;;;;;1;;1;;;1;;;;;;;;;;;
2079011 HOSPITAL LEITO IRMA ANETTE MARLENE FERNANDES DE MELLO;h222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;3;;1;;;1;;;;1;;1;;;;;;;;2;;;;;;;;;;;;2;;;;;;;;;;;;
2080427 HOSPITAL MUNICIPAL DA CRIANCA E DO ADOLESCENTE HMCA;h223;4;2;;;1;2;;;;;;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6032699 CLINICA PREMIUM CARE VILA OLIMPIA;h224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;1;;;;1;;;;;;;;;;;1;;;1;1;;;;;1;;2;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;
9491252 DR RUBENS SAVASTANO HOSPITAL REGIONAL DE SAO JOSE DOS CAMPOS - SJC - SP;h225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;1;;;2;;;;;;1;;1;;;;1;;;;1;1;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;
7373465 HOSPITAL DE CLINICAS MUNICIPAL;h226;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;1;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;
3028399 HOSPITAL ESTADUAL PROF CARLOS DA SILVA LACAZ FCO MORATO;h227;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;2;;;;;1;;;2;;1;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;
6095666 HOSPITAL MUNICIPAL DE BARUERI DR FRANCISCO MORAN;h228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;1;;;1;1;;;;1;;;;;2;;;;1;;;;;;;1;;;1;;;;;;;;;1;;;;;;;;;;
5200105 HOSPITAL MUNICIPAL PIMENTAS BONSUCESSO MANUEL DE PAIVA;h229;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;1;;;1;;;;;;;;;;1;;;;;;1;2;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;
2081539 HOSPITAL SANTA HELENA ASSISTENCIA MEDICA SB DO CAMPO;h230;1;;;;;;1;;;;;;1;;;;;;;;;;;;;;1;;;1;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;1;;;;1;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
0008087 PRONTO SOCORRO CONRADO CESARINO NUVOLINI;h231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;1;;1;;;;;;;;;;;1;;;;;;;;;;;;;1;;;1;1;;;;;1;;;1;;;;;;1;;1;;;;;;;;;;;;;;;;;;;
2084341 HOSP STA MAGGIORE;h232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;;;;;;;;;1;1;1;1;1;;;1;;;;;1;;1;;;;;;;;;;;;;;;
2690764 HOSPITAL AMERICA;h233;;;;;;;;1;1;1;;;;;;;;;;;;;;;1;;;1;;;;1;;;1;;;;;;;;1;;;;;;;;1;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2077701 HOSPITAL E MATERNIDADE LEONOR MENDES DE BARROS SAO PAULO;h234;2;;;;;;;;;;;;;;;;;;;1;;;1;1;;;;;;;1;1;;;1;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2086336 HOSPITAL E MATERNIDADE MAIRIPORA;h235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;1;;;;;1;;;4;;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
2819473 HOSPITAL SERRA MAYOR;h236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;;;1;;;;;;;;1;;1;;2;;;;;;;;;;;;;;;;;;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;
5932696 PS FENELON GUEDES PEREIRA;h237;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;;;;;;;1;;1;;;;;;;;;;;;;;;;2;;1;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
2082411 HOSPITAL MUNICIPAL DR GUIDO GUIDA;h238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;1;1;;2;;;;1;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3101126 HOSPITAL SAO FRANCISCO SC LTDA;h239;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;;1;;;;;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
6024688 PSI PRONTO SOCORRO INFANTIL DE TABOAO DA SERRA;h240;3;1;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6148344 AMA JARDIM PERI;h241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;1;1;1;1;;;;;;;;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2082535 HOSP STA RITA;h242;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;1;1;;;;;;;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025760 HOSPITAL ANA COSTA DE SANTOS;h243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;2;;;;;;2;;;;;;;;1;;;;;;;1;;1;;1;;;;;;;;;;;;;;
3024660 HOSPITAL ASSUNCAO;h244;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;2;;;1;1;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6878687 HOSPITAL ESTADUAL DR ALBANO DA FRANCA ROCHA SOBRINHO;h245;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;1;;;;1;;;1;;;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7849184 HOSPITAL SANTA MARIA DE SUZANO;h246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;1;1;;;;2;;;;1;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2082209 PS E MATERNIDADE NAIR FONSECA LEITAO ARANTES;h247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;1;;;1;1;;1;;;1;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2751747 SANTA CASA DE MAUA;h248;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2785188 UNIDADE MISTA DE TABOAO DA SERRA;h249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;1;;;;;;;1;;;;;;;;;;;;1;;;;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
2082349 HOSPITAL DE CLINICAS DR RADAMES NARDINI;h250;;;1;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6396607 INNOVA HOSPITAIS ASSOCIADOS LTDA;h251;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2078066 INTERMEDICA HPS HOSPITAL PAULO SACRAMENTO;h252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;1;;1;;;;1;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
7152574 UPA JOSE CAMPOS BARRETO ZEQUINHA BARRETO;h253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;1;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7710569 CLINICA PREMIUM CARE FILIAL ITAIM;h254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;1;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;
2079542 HOSP MAT STA JOANA;h255;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2078325 HOSP MUN INFANTIL MENINO JESUS;h256;1;;1;;1;;;;1;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2078228 HOSPITAL NOVO ATIBAIA;h257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;1;;2;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2708566 HOSPITAL UNIMED DE SOROCABA DR MIGUEL VILLA NOVA SOEIRO;h258;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;
3811735 HOSPITALAR ASSUNCAO;h259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;1;;;;;;;;1;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2688433 SANTA CASA DE MISERICORDIA DE BRAGANCA PAULISTA;h260;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3474674 UNIDADE DE PRONTO ATENDIMENTO JARDIM ANGELA;h261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;1;;;;;;;;;;;1;1;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2077655 ASSOC AACD V CLEMENTINO;h262;;;;;;1;;;;;1;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
2786435 HCSVP HOSPITAL SAO VICENTE;h263;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2748223 HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE BOTUCATU;h264;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;1;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2077434 HOSPITAL DR LEOPOLDO BEVILACQUA;h265;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
2127881 HOSPITAL E MATERNIDADE SAO LUCAS DE EXTREMA (EXTREMA - MG);h266;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;1;;;;;;;1;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2078104 HOSPITAL GERAL DE ITAPEVI;h267;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2078767 HOSPITAL PITANGUEIRAS;h268;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3272591 HOSPITALIS;h269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;1;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
2073552 PRONTO ATENDIMENTO JARDIM PARAISO;h270;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7184689 UNIDADE DE PRONTO ATENDIMENTO CENTRAL DE CARAGUATATUBA;h271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;1;1;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6030807 UPA JOSE SANTOS SASSO;h272;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;1;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6916074 UPA SAO JOAO LAVRAS;h273;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;
6135927 AMA PARELHEIROS;h274;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
2716097 COMPLEXO HOSPITALAR IRMA DULCE O S S;h275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;1;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;
2090236 FUNDACAO PIO XII - BARRETOS (SP);h276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2080133 HOSPITAL E MATERNIDADE BENEFICENCIA PORTUGUESA;h277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
2072513 HOSPITAL E MATERNIDADE MUNICIPAL SANTA ANA;h278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;
0000477 HOSPITAL OSWALDO CRUZ;h279;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
6618332 HOSPITAL SANCTA MAGGIORE LIBERDADE;h280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;1;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;
2781859 HOSPITAL UNIVERSITARIO REGIONAL DO NORTE DO PARANA;h281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
2704900 HOSPITAL UNIVERSITARIO SAO FRANCISCO NA PROVIDENCIA DE DEUS;h282;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;
6988938 HOSPITAL VIVALLE - SAO JOSE DOS CAMPOS;h283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;1;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3828107 PRONTO SOCORRO DR OSMAR MESQUITA;h284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
9400109 UPA CUMBICA;h285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7113218 UPA PERIMETRAL;h286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;
7494068 UPA SADAKO SEDOGUTI;h287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
7996802 UPA VICENTE MISSIANO;h288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
